id,origin,destination,start_time,kind
171,125,105,904,Human
172,126,49,1630,Human
173,127,106,1015,Human
174,128,83,698,Human
175,77,107,1539,Human
176,23,83,1612,Human
177,12,108,544,Human
178,129,109,965,Human
179,130,110,34,Human
180,131,111,1317,Human
181,132,112,1756,Human
182,133,33,928,Human
183,134,78,172,Human
184,135,52,193,Human
185,133,65,551,Human
186,120,42,1451,Human
187,136,100,49,Human
188,137,48,502,Human
189,138,113,808,Human
190,30,60,575,Human
191,139,33,1105,Human
192,93,28,1593,Human
193,6,0,1652,Human
194,87,83,184,Human
195,97,74,1084,Human
196,1,114,1501,Human
197,140,95,76,Human
198,47,115,1638,Human
199,141,47,1603,Human
200,142,83,1784,Human
201,115,33,350,Human
202,7,30,378,Human
203,143,116,1578,Human
204,144,117,1242,Human
205,23,63,697,Human
206,145,95,367,Human
207,29,96,1204,Human
208,146,118,1608,Human
209,147,119,1473,Human
210,148,120,184,Human
211,149,31,1726,Human
212,94,31,100,Human
213,150,95,287,Human
214,151,48,1453,Human
215,98,45,424,Human
216,98,4,789,Human
217,125,121,914,Human
218,152,57,1792,Human
219,100,122,8,Human
220,153,77,904,Human
221,64,123,214,Human
222,46,119,307,Human
223,154,124,766,Human
224,155,125,1537,Human
225,6,36,1026,Human
226,55,126,489,Human
227,156,127,262,Human
228,157,128,789,Human
229,143,63,1435,Human
230,158,129,518,Human
231,23,95,333,Human
232,84,126,473,Human
233,159,126,1477,Human
234,160,130,104,Human
235,161,131,810,Human
236,162,31,319,Human
237,26,125,1789,Human
238,26,132,491,Human
239,23,57,1675,Human
240,39,47,387,Human
241,65,41,1057,Human
242,163,133,1379,Human
243,164,127,1242,Human
244,165,134,21,Human
245,166,135,110,Human
246,167,12,1351,Human
247,168,57,1517,Human
248,169,136,1137,Human
249,170,137,1797,Human
250,76,57,1255,Human
251,171,138,503,Human
252,38,139,571,Human
253,131,12,1788,Human
254,172,40,259,Human
255,93,57,1673,Human
256,42,122,159,Human
257,173,140,385,Human
258,123,141,269,Human
259,114,142,1009,Human
260,174,55,1473,Human
261,8,143,101,Human
262,89,54,960,Human
263,22,138,1308,Human
264,175,47,1316,Human
265,134,57,1143,Human
266,176,4,490,Human
267,134,144,1195,Human
268,3,145,1417,Human
269,46,10,1646,Human
270,6,10,864,Human
271,177,146,994,Human
272,178,57,1761,Human
273,134,147,1074,Human
274,174,148,1396,Human
275,124,31,244,Human
276,179,88,1205,Human
277,180,14,112,Human
278,169,149,72,Human
279,82,143,126,Human
280,181,150,469,Human
281,182,31,293,Human
282,101,116,214,Human
283,183,83,340,Human
284,184,151,732,Human
285,185,152,289,Human
286,54,153,571,Human
287,186,5,447,Human
288,187,147,1241,Human
289,188,154,225,Human
290,189,2,1792,Human
291,58,155,832,Human
292,190,31,106,Human
293,169,83,710,Human
294,23,82,819,Human
295,191,126,1430,Human
296,164,96,1311,Human
297,138,147,39,Human
298,52,156,893,Human
299,192,134,1345,Human
300,138,94,17,Human
301,193,83,1250,Human
302,194,157,700,Human
303,195,158,1593,Human
304,196,159,1312,Human
305,197,16,87,Human
306,198,1,816,Human
307,117,160,501,Human
308,109,27,529,Human
309,199,71,1282,Human
310,116,135,249,Human
311,188,58,922,Human
312,200,40,1079,Human
313,201,161,577,Human
314,202,144,226,Human
315,26,54,428,Human
316,203,57,1652,Human
317,117,132,1390,Human
318,204,135,1687,Human
319,205,162,1755,Human
320,206,144,1521,Human
321,204,163,334,Human
322,207,164,21,Human
323,85,165,688,Human
324,208,166,1323,Human
325,209,29,167,Human
326,165,167,1367,Human
327,210,148,1347,Human
328,211,168,706,Human
329,212,52,248,Human
330,22,161,1546,Human
331,213,169,1034,Human
332,158,126,278,Human
333,214,29,646,Human
334,96,4,1036,Human
335,215,170,242,Human
336,216,171,1290,Human
337,121,172,1382,Human
338,217,173,740,Human
339,218,30,1340,Human
340,219,5,116,Human
341,210,110,1753,Human
342,220,174,846,Human
343,221,30,577,Human
344,222,132,522,Human
345,184,175,1782,Human
346,223,57,144,Human
347,24,40,588,Human
348,224,176,272,Human
349,225,177,1028,Human
350,226,178,1742,Human
351,227,179,883,Human
352,228,180,1215,Human
353,156,125,1090,Human
354,229,108,409,Human
355,230,60,1570,Human
356,148,125,1758,Human
357,24,181,297,Human
358,104,182,677,Human
359,24,132,767,Human
360,231,3,1197,Human
361,232,183,1523,Human
362,233,31,417,Human
363,58,49,356,Human
364,79,31,1733,Human
365,185,47,1358,Human
366,143,47,35,Human
367,22,184,876,Human
368,58,181,118,Human
369,216,47,374,Human
370,234,185,231,Human
371,235,186,1556,Human
372,34,14,50,Human
373,236,31,1360,Human
374,237,31,314,Human
375,47,181,1136,Human
376,143,187,1567,Human
377,186,132,818,Human
378,91,10,1232,Human
379,217,188,1434,Human
380,238,14,690,Human
381,150,189,1347,Human
382,235,161,109,Human
383,166,187,150,Human
384,184,0,787,Human
385,239,132,1687,Human
386,240,71,1248,Human
387,1,132,6,Human
388,227,0,810,Human
389,241,190,1171,Human
390,184,155,1311,Human
391,219,46,1052,Human
392,188,132,1268,Human
393,239,8,241,Human
394,184,161,373,Human
395,242,0,317,Human
396,234,178,1077,Human
397,105,60,1252,Human
398,239,174,592,Human
399,234,132,1492,Human
400,227,138,1438,Human
401,1,60,521,Human
402,202,0,983,Human
403,243,60,323,Human
404,240,60,802,Human
405,1,161,1024,Human
406,244,191,401,Human
407,243,0,1389,Human
408,245,54,273,Human
409,65,30,374,Human
410,9,8,1151,Human
411,1,3,1504,Human
412,219,85,381,Human
413,246,66,387,Human
414,247,192,827,Human
415,186,178,1261,Human
416,248,193,1545,Human
417,249,150,1398,Human
418,186,66,509,Human
419,188,194,764,Human
420,186,66,664,Human
421,248,193,1697,Human
422,250,195,736,Human
423,186,97,115,Human
424,82,196,1296,Human
425,184,126,1771,Human
426,132,31,719,Human
427,47,64,1399,Human
428,251,172,490,Human
429,242,197,1059,Human
430,98,4,940,Human
431,252,172,211,Human
432,253,198,67,Human
433,245,1,1706,Human
434,237,0,358,Human
435,254,95,1289,Human
436,255,199,1382,Human
437,214,110,94,Human
438,211,108,1032,Human
439,26,198,1644,Human
440,256,60,454,Human
441,89,200,1425,Human
442,159,172,795,Human
443,159,201,383,Human
444,79,202,246,Human
445,257,172,350,Human
446,52,203,1764,Human
447,206,36,1116,Human
448,217,47,476,Human
449,74,200,821,Human
450,33,60,186,Human
451,240,18,1050,Human
452,32,108,1602,Human
453,258,125,681,Human
454,227,108,646,Human
455,259,132,794,Human
456,184,193,1694,Human
457,260,172,370,Human
458,188,57,251,Human
459,261,110,659,Human
460,7,204,1559,Human
461,105,148,89,Human
462,184,130,37,Human
463,54,57,77,Human
464,54,205,118,Human
465,184,206,748,Human
466,54,66,87,Human
467,241,207,671,Human
468,234,6,928,Human
469,105,132,1292,Human
470,245,161,1427,Human
471,217,125,139,Human
472,23,176,1788,Human
473,254,132,1089,Human
474,117,141,397,Human
475,12,16,1006,Human
476,262,208,1485,Human
477,117,71,1152,Human
478,39,209,223,Human
479,263,139,17,Human
480,264,40,1021,Human
481,204,210,1249,Human
482,265,152,795,Human
483,266,10,1425,Human
484,267,2,1777,Human
485,268,78,489,Human
486,28,147,34,Human
487,193,211,1341,Human
488,269,2,1729,Human
489,193,71,508,Human
490,262,71,1301,Human
491,270,71,1761,Human
492,193,2,1226,Human
493,193,144,1625,Human
494,271,2,1614,Human
495,271,2,912,Human
496,193,104,185,Human
497,272,71,563,Human
498,245,212,613,Human
499,273,213,56,Human
500,274,78,515,Human
501,275,1,1146,Human
502,197,175,1178,Human
503,276,27,821,Human
504,277,214,1001,Human
505,263,215,112,Human
506,278,216,370,Human
507,279,71,1499,Human
508,23,4,1455,Human
509,280,172,132,Human
510,281,66,263,Human
511,80,152,284,Human
512,282,152,1042,Human
513,283,10,755,Human
514,39,40,1686,Human
515,186,177,503,Human
516,151,139,624,Human
517,39,217,1224,Human
518,223,71,379,Human
519,225,172,196,Human
520,249,105,672,Human
521,184,135,241,Human
522,284,125,238,Human
