id,origin,destination,start_time,kind
221,170,9,142,Human
222,8,29,875,Human
223,55,136,363,Human
224,171,29,1619,Human
225,172,137,1554,Human
226,12,89,1099,Human
227,173,138,747,Human
228,174,139,1077,Human
229,165,140,1158,Human
230,175,9,451,Human
231,176,99,645,Human
232,177,141,793,Human
233,178,142,1273,Human
234,179,143,1216,Human
235,180,13,236,Human
236,134,124,43,Human
237,181,144,1495,Human
238,182,131,1126,Human
239,55,99,22,Human
240,183,99,1715,Human
241,184,145,114,Human
242,12,134,1596,Human
243,185,117,1711,Human
244,158,146,8,Human
245,186,147,481,Human
246,37,148,3,Human
247,186,112,559,Human
248,187,149,1779,Human
249,188,150,1678,Human
250,189,151,203,Human
251,56,152,790,Human
252,167,153,1101,Human
253,190,154,722,Human
254,191,155,311,Human
255,174,156,430,Human
256,192,157,1394,Human
257,193,158,975,Human
258,194,2,1574,Human
259,27,159,1779,Human
260,165,37,1673,Human
261,195,29,16,Human
262,196,152,120,Human
263,74,19,848,Human
264,197,29,1070,Human
265,198,160,928,Human
266,187,1,1116,Human
267,199,161,798,Human
268,27,149,214,Human
269,200,152,1415,Human
270,201,162,1760,Human
271,202,29,753,Human
272,203,29,1786,Human
273,163,163,40,Human
274,201,164,134,Human
275,166,165,167,Human
276,204,166,657,Human
277,187,167,380,Human
278,205,164,1304,Human
279,206,168,944,Human
280,88,169,430,Human
281,44,164,1325,Human
282,207,20,7,Human
283,165,163,1612,Human
284,208,170,821,Human
285,209,42,1528,Human
286,66,171,566,Human
287,210,29,679,Human
288,7,172,1032,Human
289,211,13,877,Human
290,212,173,426,Human
291,213,174,904,Human
292,196,1,1797,Human
293,27,58,1483,Human
294,214,175,199,Human
295,215,176,1099,Human
296,166,177,1458,Human
297,216,29,1466,Human
298,217,149,118,Human
299,35,178,102,Human
300,62,29,161,Human
301,218,179,1108,Human
302,219,164,86,Human
303,199,171,986,Human
304,187,180,605,Human
305,220,164,1070,Human
306,210,145,1173,Human
307,221,181,1509,Human
308,222,182,1149,Human
309,223,29,1258,Human
310,194,183,910,Human
311,42,184,1353,Human
312,224,146,234,Human
313,225,12,270,Human
314,226,152,1602,Human
315,207,185,595,Human
316,227,150,1786,Human
317,228,50,344,Human
318,40,186,92,Human
319,199,41,558,Human
320,207,164,1458,Human
321,168,187,1618,Human
322,229,188,1019,Human
323,169,43,761,Human
324,230,132,1661,Human
325,231,189,1756,Human
326,232,190,447,Human
327,233,191,1786,Human
328,234,166,1614,Human
329,235,78,1252,Human
330,85,192,1228,Human
331,25,193,1506,Human
332,13,150,1487,Human
333,236,194,187,Human
334,237,149,966,Human
335,27,135,191,Human
336,234,74,651,Human
337,238,164,1647,Human
338,236,22,1797,Human
339,239,85,1477,Human
340,32,195,632,Human
341,240,50,420,Human
342,187,135,1458,Human
343,241,85,1319,Human
344,16,149,679,Human
345,48,196,1715,Human
346,242,196,1057,Human
347,243,13,109,Human
348,239,149,1544,Human
349,85,22,1168,Human
350,244,197,366,Human
351,27,1,1789,Human
352,245,198,1773,Human
353,27,160,385,Human
354,246,124,895,Human
355,213,113,325,Human
356,247,18,1263,Human
357,248,199,739,Human
358,249,22,1009,Human
359,250,72,1778,Human
360,251,20,1312,Human
361,252,200,707,Human
362,17,201,16,Human
363,253,202,1415,Human
364,254,135,1545,Human
365,255,135,1196,Human
366,118,149,1244,Human
367,177,203,1643,Human
368,32,146,1110,Human
369,179,166,68,Human
370,14,103,983,Human
371,256,189,1126,Human
372,91,195,23,Human
373,257,29,165,Human
374,258,204,232,Human
375,53,78,706,Human
376,179,205,1474,Human
377,259,206,496,Human
378,260,207,1396,Human
379,104,149,107,Human
380,171,150,892,Human
381,209,95,102,Human
382,146,135,244,Human
383,261,72,962,Human
384,90,103,129,Human
385,262,38,1534,Human
386,263,108,1223,Human
387,185,208,1218,Human
388,264,209,776,Human
389,96,3,1132,Human
390,130,13,1088,Human
391,201,210,29,Human
392,265,38,1630,Human
393,29,13,167,Human
394,266,210,915,Human
395,68,211,297,Human
396,264,212,21,Human
397,267,192,318,Human
398,268,42,100,Human
399,269,52,109,Human
400,270,211,1368,Human
401,250,213,1592,Human
402,271,214,231,Human
403,68,215,1131,Human
404,262,13,1622,Human
405,272,216,243,Human
406,273,217,1621,Human
407,274,37,1602,Human
408,225,218,902,Human
409,220,147,193,Human
410,275,21,231,Human
411,276,56,1799,Human
412,167,219,134,Human
413,33,220,1034,Human
414,277,221,323,Human
415,27,157,459,Human
416,169,157,845,Human
417,62,211,955,Human
418,216,145,739,Human
419,278,88,317,Human
420,251,222,1517,Human
421,279,157,679,Human
422,280,145,380,Human
423,221,147,601,Human
424,184,147,341,Human
425,225,223,1241,Human
426,224,147,1305,Human
427,225,116,1556,Human
428,281,224,1106,Human
429,86,225,1041,Human
430,8,145,1529,Human
431,276,221,644,Human
432,282,221,1781,Human
433,33,164,808,Human
434,283,157,978,Human
435,225,211,590,Human
436,187,226,87,Human
437,165,101,525,Human
438,173,69,1483,Human
439,59,120,711,Human
440,150,227,356,Human
441,284,22,972,Human
442,212,228,1544,Human
443,285,229,204,Human
444,286,199,496,Human
445,221,230,651,Human
446,10,165,662,Human
447,187,145,286,Human
448,187,134,1002,Human
449,286,199,1224,Human
450,287,19,1669,Human
451,142,231,180,Human
452,278,164,473,Human
453,241,232,918,Human
454,288,21,310,Human
455,6,21,48,Human
456,289,221,901,Human
457,290,233,229,Human
458,291,230,295,Human
459,0,157,1080,Human
460,186,211,495,Human
461,292,234,1590,Human
462,61,235,1553,Human
463,87,132,742,Human
464,173,179,1727,Human
465,261,157,211,Human
466,293,179,1404,Human
467,294,83,172,Human
468,295,1,1431,Human
469,296,96,705,Human
470,297,1,118,Human
471,298,236,1018,Human
472,228,57,785,Human
473,174,2,1145,Human
474,223,237,304,Human
475,4,163,405,Human
476,299,221,719,Human
477,111,211,570,Human
478,300,21,1602,Human
479,215,211,286,Human
480,301,9,788,Human
481,302,28,812,Human
482,303,211,456,Human
483,8,164,1055,Human
484,304,238,347,Human
485,8,239,1312,Human
486,25,240,853,Human
487,305,241,929,Human
488,306,241,586,Human
489,307,242,603,Human
490,32,179,1071,Human
491,248,157,672,Human
492,308,110,181,Human
493,206,88,229,Human
494,251,243,1429,Human
495,199,223,104,Human
496,199,244,181,Human
497,26,226,526,Human
498,12,134,52,Human
499,215,126,1596,Human
500,16,145,687,Human
501,8,127,43,Human
502,199,20,485,Human
503,12,245,986,Human
504,27,164,1389,Human
505,59,246,738,Human
506,192,69,1598,Human
507,235,226,1254,Human
508,78,50,252,Human
509,241,198,140,Human
510,309,88,1070,Human
511,206,167,333,Human
512,25,88,567,Human
513,296,247,1751,Human
514,237,248,1431,Human
515,310,216,5,Human
516,311,17,305,Human
517,229,37,1654,Human
518,312,83,795,Human
519,221,113,1299,Human
520,93,249,481,Human
521,199,250,248,Human
522,313,134,1511,Human
523,85,251,341,Human
524,314,147,1353,Human
525,303,230,1754,Human
526,264,252,1475,Human
527,315,190,1393,Human
528,316,214,77,Human
529,10,253,351,Human
530,317,198,1760,Human
531,262,17,230,Human
532,318,37,486,Human
533,223,254,1296,Human
534,32,69,1531,Human
535,261,31,1588,Human
536,25,24,31,Human
537,319,68,17,Human
538,192,113,360,Human
539,320,18,1171,Human
540,50,255,519,Human
541,321,21,897,Human
542,61,241,1134,Human
543,322,43,1119,Human
544,323,246,1799,Human
545,324,64,160,Human
546,25,175,107,Human
547,200,29,522,Human
548,325,28,114,Human
549,326,216,1026,Human
550,100,29,1513,Human
551,251,181,993,Human
552,327,256,1736,Human
553,153,257,1116,Human
554,220,258,1061,Human
555,328,222,762,Human
556,66,18,42,Human
557,231,259,1702,Human
558,85,260,1449,Human
559,329,261,893,Human
560,303,178,353,Human
561,45,156,1133,Human
562,285,22,1433,Human
563,237,134,484,Human
564,330,152,1127,Human
565,220,206,1015,Human
566,191,175,805,Human
567,27,22,158,Human
568,283,262,1331,Human
569,284,263,833,Human
570,25,152,549,Human
571,62,264,454,Human
572,235,12,1302,Human
573,294,0,1143,Human
574,331,29,1076,Human
575,323,265,811,Human
576,210,113,169,Human
577,216,266,219,Human
578,332,29,1724,Human
579,12,166,1307,Human
580,333,267,1242,Human
581,327,175,213,Human
582,56,29,652,Human
583,334,268,1728,Human
584,335,178,1065,Human
585,336,52,1509,Human
586,224,167,189,Human
587,10,218,849,Human
588,337,229,834,Human
589,239,269,1734,Human
590,215,270,252,Human
591,62,262,289,Human
592,338,271,1794,Human
593,289,152,1789,Human
594,339,226,1138,Human
595,340,175,543,Human
596,332,175,1546,Human
597,276,193,1095,Human
598,224,200,786,Human
599,341,272,1578,Human
600,342,175,336,Human
601,343,22,252,Human
602,344,17,476,Human
603,203,262,361,Human
604,345,78,824,Human
605,199,273,1689,Human
606,346,167,1005,Human
607,347,1,806,Human
608,334,167,1129,Human
609,348,274,448,Human
610,13,275,1009,Human
611,349,22,597,Human
612,329,22,223,Human
613,350,138,608,Human
614,186,276,1474,Human
615,351,164,936,Human
616,186,242,1616,Human
617,352,229,744,Human
618,319,277,1649,Human
619,353,181,579,Human
620,13,111,677,Human
621,12,278,435,Human
622,155,279,945,Human
623,354,175,1469,Human
624,355,167,1047,Human
625,10,280,1647,Human
626,356,152,91,Human
627,253,59,1749,Human
628,339,259,1326,Human
629,169,281,1561,Human
630,235,30,1112,Human
631,357,31,807,Human
632,339,216,1072,Human
633,261,178,826,Human
634,304,63,889,Human
635,257,282,1692,Human
636,82,50,216,Human
637,358,200,1741,Human
638,184,54,628,Human
639,16,210,712,Human
640,112,274,795,Human
641,359,196,1585,Human
642,145,274,1415,Human
643,51,30,587,Human
644,360,113,753,Human
645,286,3,915,Human
646,220,283,843,Human
647,361,279,1036,Human
648,38,5,682,Human
649,124,262,1471,Human
650,16,284,953,Human
651,362,285,95,Human
652,363,279,247,Human
653,123,127,869,Human
654,364,286,308,Human
655,152,287,272,Human
656,365,64,346,Human
657,216,40,797,Human
658,267,72,1587,Human
659,199,288,1043,Human
660,356,72,351,Human
661,366,274,1432,Human
662,367,138,1140,Human
663,6,56,1773,Human
664,165,255,123,Human
665,169,3,1261,Human
666,4,190,240,Human
667,368,275,233,Human
668,340,289,1433,Human
669,124,290,503,Human
670,369,262,359,Human
671,370,291,1259,Human
672,364,292,1518,Human
673,297,159,1386,Human
674,124,251,175,Human
675,371,291,1250,Human
676,45,293,1764,Human
677,65,164,328,Human
678,372,48,1511,Human
679,266,3,1383,Human
680,57,262,1774,Human
681,373,159,471,Human
682,73,294,983,Human
683,374,3,1506,Human
684,375,197,179,Human
685,57,69,1111,Human
686,351,33,1414,Human
687,376,69,1695,Human
688,315,295,328,Human
689,5,296,1701,Human
690,82,47,1179,Human
691,351,110,1178,Human
692,377,88,917,Human
693,378,297,1496,Human
694,379,229,965,Human
695,104,47,813,Human
696,89,69,636,Human
697,333,147,987,Human
698,155,198,555,Human
699,380,47,1734,Human
700,49,249,65,Human
701,322,113,85,Human
702,143,113,240,Human
703,56,59,431,Human
704,320,171,439,Human
705,100,279,1362,Human
706,348,144,1313,Human
707,381,24,653,Human
708,365,24,717,Human
709,382,158,76,Human
710,379,246,696,Human
711,383,151,1687,Human
712,384,298,1640,Human
713,385,113,1680,Human
714,143,181,1084,Human
715,377,136,981,Human
716,386,17,444,Human
717,264,113,946,Human
718,386,17,301,Human
719,387,299,1140,Human
720,57,17,1774,Human
721,100,72,1493,Human
722,388,246,739,Human
723,132,300,1046,Human
724,42,28,1448,Human
725,389,24,156,Human
726,4,38,1673,Human
727,390,301,344,Human
728,391,24,1700,Human
