origins,destinations,mask_0,mask_1,mask_2,mask_3
-156460691,-37052277#2,1,1,1,1
-156460691,918716574#0,0,1,1,1
-156480737#1,-394446873#0,1,1,1,1
-156480737#3,-1119245060#0,1,1,1,1
-156480737#3,1119245067,1,1,1,1
-157553230,-153730010#2,1,1,1,0
-157553230,-394443151#2,1,1,1,1
-157553230,36936373#1,1,1,1,1
-157555050#0,-153730010#2,1,1,1,1
-157555050#0,37050033#0,1,1,1,1
-157555050#0,918716574#1,1,1,1,1
-157574537#0,1239117037#0,1,1,1,0
-159922662#1,-153732963#2,1,1,1,1
-165170681#0,-1119245060#0,1,1,1,1
-165170681#0,-319779150#2,1,1,1,1
-165170681#0,-394443146,1,1,1,1
-165170681#1,-165172642#0,1,1,0,1
-165170681#1,-35802097#1,1,1,1,1
-165170681#1,319058644,1,1,1,1
-165170818#1,-156480737#2,1,0,1,1
-165170818#1,36936590#1,1,1,1,1
-165170818#3,-1119245060#0,1,1,1,1
-165170818#3,-165171782,1,1,0,1
-165170818#3,-165171783#2,1,1,1,1
-165170818#3,-698024153,1,1,0,1
-165170818#3,36936262#1,1,1,1,1
-165170818#3,37056055#1,1,1,1,1
-165170818#5,-37052277#3,1,1,1,1
-165170818#5,-698026762,1,1,1,1
-165170994#4,-165171782,1,1,0,1
-165171446,-165172642#0,1,1,0,1
-165171446,-243836884#5,0,1,0,1
-165171782,-1119245057#3,1,1,1,1
-165171783#1,-153730010#2,1,1,1,1
-165171783#1,-165172642#0,1,1,1,1
-165171783#1,-243836884#1,1,1,0,1
-165171783#1,-698024153,1,1,1,1
-165171783#1,37052930,1,1,1,1
-165171783#1,406210869#0,1,1,1,0
-165172165#0,-1119245693,1,1,1,0
-165172165#0,-243836884#5,1,1,1,1
-165172165#1,-165171783#2,1,1,1,1
-165172165#1,-35802071#2,1,1,1,1
-165172165#1,-698024153,1,1,1,1
-165172165#1,319058646#1,1,0,1,0
-165172307#0,-36294383#5,1,1,1,1
-165172642#0,-1119245061,1,1,1,1
-165172642#0,-157555050#0,1,1,1,1
-165172642#0,165170685#1,1,1,1,1
-165172642#1,-156460681#1,1,1,1,1
-165172642#1,-243836884#5,1,1,0,1
-165172642#2,36936590#6,1,1,0,1
-187827282#0,-35802097#1,1,1,1,1
-187827282#1,36934835#2,0,1,1,1
-187827283#2,-35802097#1,1,1,1,1
-187827289,-156460683#5,1,1,1,1
-215094374,-165172165#1,1,1,1,1
-218916903,-650145324#1,1,1,1,1
-243836884#1,36936327,1,1,1,1
-243836884#5,-165171783#1,0,1,0,1
-243836884#5,-165172165#1,0,1,0,1
-243836884#5,-698024153,0,1,1,1
-269702560,-394456385#1,1,1,1,1
-270968323#1,-319058604#1,1,1,1,1
-319058589#1,319058644,1,1,1,1
-319058589#1,39820659#3,1,0,1,1
-319058602#0,-37052277#2,1,1,1,1
-319058602#0,-394443151#2,1,1,1,1
-319058604#0,-1339510610,1,1,1,1
-319058604#0,153730941#1,1,1,1,1
-319058604#1,610135147#1,1,1,1,0
-319058608#1,-1239117016#2,1,1,1,1
-319058611,-394443151#2,1,1,1,1
-319058611,-698026762,0,0,1,0
-319058611,1239117012#2,1,1,1,0
-319058625,-35802097#1,1,1,1,1
-319058629,-153730020#0,1,1,1,1
-319058629,-156460681#1,1,1,1,1
-319779150#1,319058608#0,1,1,1,1
-319779153,-165172642#0,1,1,1,1
-319779153,-36293459#8,1,1,1,1
-319779154,-165172642#0,1,1,1,1
-327343082,-159922662#1,1,1,1,1
-327343096,187827276,1,1,1,1
-328471845#0,-918716575,1,1,1,1
-328471845#0,157555049,1,1,1,1
-339700984,610135147#1,1,1,1,1
-339701637,319058612#0,0,1,1,1
-35801597#3,-328471845#0,1,1,1,1
-35801597#3,-35801699#1,1,1,1,1
-35801597#3,156467000#3,0,1,1,1
-35801597#3,165170685#1,1,1,1,1
-35801597#3,37054132,1,1,1,1
-35801699#1,-35801597#3,1,0,1,1
-35801699#1,-36950506#2,1,1,1,1
-35802071#0,-165170994#4,1,1,1,1
-35802071#0,37056055#1,1,1,1,1
-35802071#1,-650145330#0,1,1,1,1
-35802097#1,156467000#0,1,1,1,1
-36288851#1,36936327,1,1,1,1
-36288941#0,319058608#0,1,1,1,1
-36288941#1,-650145324#1,1,1,1,1
-36288941#1,1119245067,1,1,1,1
-36288941#2,-319779150#1,1,1,1,0
-36288941#2,-610220874#1,1,1,1,1
-36289599#0,-153730010#2,1,1,1,1
-36289599#0,-319058629,1,1,1,1
-36289599#0,48955997,1,1,1,1
-36289599#0,610135147#1,1,1,1,0
-36289599#1,-165170994#4,1,1,1,1
-36293459#0,-156460683#5,0,1,1,1
-36293459#0,-243836890#0,1,1,1,1
-36293459#0,-35802097#1,1,1,1,1
-36293459#0,-698024153,0,1,1,1
-36293459#0,36936423#2,1,1,1,1
-36293459#3,1119245067,1,1,1,1
-36293459#6,-156460683#5,1,1,1,1
-36293459#7,1239117013#2,1,1,1,1
-36293459#7,36936236#1,1,1,1,1
-36293459#8,-153730939#0,1,1,1,1
-36293752#1,36936262#1,1,1,1,1
-36293752#1,37050051,1,1,1,1
-36293752#3,156467000#3,0,1,1,1
-36293752#5,-1239117016#2,1,1,1,1
-36293752#5,-37052277#2,1,1,1,1
-36293752#6,36935040#2,1,1,1,1
-36294081#0,-165170994#1,1,1,1,1
-36294081#1,-156460683#0,1,1,1,1
-36294081#1,-156460683#5,1,1,1,1
-36294081#1,-650145330#0,1,1,1,1
-36294081#2,-156460683#0,1,1,1,1
-36294081#2,-165170994#3,1,1,1,1
-36294081#3,-36934835#0,1,1,1,1
-36294081#3,36936590#5,1,1,1,1
-36294081#3,610135147#1,1,1,1,1
-36294383#3,-35802097#1,1,1,0,1
-36294383#4,-650145324#1,1,1,1,1
-36294383#6,-156460683#5,1,1,1,1
-36294383#6,-36293459#8,1,1,1,0
-36294383#9,153730936#3,1,1,1,1
-36933126#1,36936327,1,1,1,1
-36933126#1,36936590#6,1,1,1,1
-36933151#0,-165172307#0,1,1,1,1
-36933151#0,-394443146,1,1,1,1
-36933151#0,36936655#3,0,1,1,1
-36934835#0,153730941#1,1,1,1,0
-36934835#0,319058646#0,1,1,1,1
-36934835#0,36950506#0,1,1,1,1
-36934835#1,-36294383#8,1,1,1,1
-36936288,-153730010#2,1,1,1,1
-36936288,36936396#3,1,1,1,1
-36936749#1,-319058611,1,1,1,0
-36950439#0,-153730020#0,1,1,1,1
-36950439#0,-650145324#1,1,1,1,0
-36950439#0,1239117012#5,1,1,1,0
-36950439#0,187827276,1,1,1,1
-36950439#0,36936407#1,1,1,1,1
-36950439#1,-36950506#2,1,1,1,1
-36950439#1,-610220874#1,1,1,1,1
-36950506#2,-36933126#1,1,1,1,1
-36950506#2,-36950439#0,1,1,1,1
-36950506#2,36950518#0,1,1,1,1
-36950506#3,187827276,1,1,1,1
-36950518#1,-394443151#2,1,1,1,1
-36950518#1,36936590#5,1,1,1,1
-36950657#0,48956586#5,1,1,1,1
-37051625#0,-36293459#8,1,1,1,1
-37051625#2,-187827280#0,1,1,1,1
-37052277#2,-319058602#0,0,1,1,1
-37052277#2,1119245069,1,1,1,1
-37052277#2,37050033#1,1,1,1,1
-37052381#0,-153730008#2,1,0,1,1
-37052381#1,-165171783#2,1,1,1,1
-37052381#2,-35802097#3,1,1,1,1
-37053056#5,610135147#1,1,1,1,1
-37055563#1,-36293459#8,1,1,1,1
-37055563#1,-698026762,0,1,1,1
-37055902#1,156467000#3,1,0,1,1
-37055902#2,-36950506#2,1,1,1,1
-37088673#0,-153730010#2,1,1,0,0
-37088673#1,-36936288,1,1,1,1
-37640679#2,-153730022#0,1,1,1,1
-394443146,-165172642#0,1,1,1,1
-394443146,-698024153,1,1,0,1
-394443146,1239117013#2,1,1,0,1
-394443146,39820659#1,1,1,1,1
-394443147#0,-1238426236,0,1,1,1
-394443147#0,-650145324#1,1,1,1,1
-394443147#0,-698024153,1,1,0,1
-394443147#0,36936655#4,1,1,0,1
-394443147#0,36950518#0,1,1,1,1
-394443147#1,-698024153,1,1,1,1
-394443151#0,327343097#1,1,1,1,1
-394443151#2,-165170818#8,1,1,1,1
-394443151#2,-165172165#0,1,1,1,1
-394443152#1,-37052277#2,1,1,1,1
-394446871#1,36936590#6,1,1,1,1
-394446873#0,36936373#1,1,1,1,1
-394446873#2,-35802097#1,1,1,1,1
-394446876#0,36935232,1,1,1,1
-394456356#1,-157555050#0,1,1,1,1
-394456356#1,-319779150#2,1,1,1,1
-394456356#1,37088258#0,1,0,1,1
-394456379,-37052277#2,1,1,1,1
-394456379,36936423#2,1,1,1,1
-394456385#0,-36933151#0,1,1,1,1
-394456385#0,-36950506#1,1,1,1,1
-394456385#1,-156460683#8,1,1,1,1
-394456385#1,-269702560,1,1,1,1
-394456385#1,-37052277#2,1,1,1,1
-476687231#1,-165170994#4,1,1,1,1
-476687231#1,918716574#0,1,1,1,1
-509025806#0,-394443147#1,1,1,1,1
-650145324#0,-36289599#1,1,1,1,0
-650145324#1,36936749#4,1,1,1,1
-650145330#0,269702544,1,1,1,1
-697627694#1,-698026762,1,1,1,1
-697704135,-1119245057#2,1,1,1,1
-698018295#3,187827276,1,1,1,1
-698024153,-243836884#1,0,1,1,1
-698024153,-243836884#5,1,1,1,1
-698024153,-327343096,1,1,1,1
-698024153,-394443147#1,1,1,1,0
-698024153,-394443152#1,1,1,1,1
-698024153,-394446869,1,1,0,1
-698024153,-610220874#1,1,1,1,1
-698024153,36288851#0,1,1,1,1
-698024153,394456380,1,1,1,1
-698024153,698024155#0,0,0,1,0
-698026762,319058646#1,1,1,1,1
-710476024#1,157553231,1,1,1,0
-710478296,-36293752#1,1,1,1,1
-734943619,-35802097#2,1,1,1,1
-859784039#0,-1119245060#0,1,1,1,1
-859784039#0,-153730020#0,1,1,1,1
-859784039#0,-243836884#5,1,1,1,1
-859784039#0,-698026762,1,1,1,1
-859784039#0,187827276,1,0,1,1
-859784039#0,36936373#3,1,1,1,1
-859784611,-36950506#2,1,1,1,0
1057740871#0,36936407#1,1,1,1,1
1119245066#1,-243836890#2,1,1,1,1
1119245067,-156480737#3,1,1,1,1
1119245067,-36293459#7,1,1,1,1
1119245067,-36950439#0,1,1,1,1
1119245067,36936423#4,1,0,1,1
1119245069,-156460683#5,1,1,1,1
1238956370,-36950506#2,1,1,1,1
1238956371,-165172642#0,1,1,1,1
1239117012#2,-36933151#0,1,1,1,1
1239117013#2,-165171783#1,1,1,1,0
1239117013#2,156467000#3,1,1,1,1
1339510612#2,36936423#5,1,1,1,1
153730013#0,-36933126#0,1,1,1,0
153730020#1,1239117012#1,1,1,0,0
153730936#3,36785117#0,1,1,1,1
153730941#1,-1109771198#0,1,1,1,1
153730941#1,-36950506#2,1,1,1,1
153730941#1,-394446871#1,1,1,1,1
156460680#1,-243836884#5,1,1,1,1
156467000#0,-156460683#0,1,1,1,1
156467000#0,-327343096,1,1,1,1
156467000#3,327343097#1,1,1,1,1
157553231,-156460672,1,1,1,1
157553231,37050033#0,1,1,1,1
157555049,36935232,1,1,1,1
159922990,-165170994#4,0,1,1,1
165170685#0,-153730010#2,1,1,1,1
165170685#0,-165171782,1,1,1,1
165170685#0,-650145324#1,1,1,1,1
165170685#0,187827287,1,1,1,1
165170685#0,36934860#2,1,1,1,1
165170685#1,-328471845#0,1,1,1,0
165170685#1,-36933151#0,1,1,1,1
165170685#1,-509025806#0,0,1,1,1
165170685#1,319779133#0,0,0,1,0
165170817,-698024153,1,1,0,1
165170817,319058612#1,1,1,1,1
165172163,-153730010#2,1,1,1,1
187827272,36935232,1,0,1,1
187827276,-187827282#1,1,1,1,1
187827276,36288851#0,1,1,1,1
187827276,37640679#0,0,1,1,1
269702544,-165170994#1,1,1,1,1
269702544,-36289599#0,1,1,1,1
269702544,-37052277#2,1,1,1,1
269702544,-37052381#1,1,1,1,1
269702544,-394443151#2,1,0,0,1
269702544,-650145324#1,1,1,1,1
269702544,-698026762,1,1,1,1
269702544,1239117012#1,1,1,1,0
269702544,319058612#1,1,1,1,0
269702561#0,-201772616#1,1,1,1,0
269702561#0,-36950506#2,1,1,1,1
269702561#1,165172163,1,1,1,0
270968317#0,-153730010#2,1,1,1,1
270968317#0,-165171782,1,1,1,1
270968317#1,-37052277#2,1,1,1,1
270968324,319058612#1,1,1,1,1
319058593,-156460683#5,1,1,1,1
319058598,-37054066,1,1,1,1
319058602#1,1239117012#5,1,1,1,1
319058608#0,-243836884#4,1,1,1,1
319058608#0,-36933151#0,1,1,1,1
319058608#0,-698024153,1,1,1,1
319058608#0,-710478296,1,1,1,1
319058608#0,36950506#0,1,1,1,1
319058612#1,1119245069,1,1,1,1
319058643#0,165170685#0,0,1,1,1
319058644,-1239117016#0,0,0,1,0
319058644,-243836884#1,1,1,1,0
319058644,302162780#1,1,1,1,0
319058644,36936396#2,1,1,1,1
319058646#0,-243836884#5,1,1,1,1
319058646#0,-37053056#5,1,1,1,1
319058646#0,-650145330#0,1,1,1,1
319058646#0,302162780#1,1,1,1,1
319058646#1,-243836884#1,1,1,1,1
319058646#1,-710478296,0,1,1,1
319058646#1,187827279,1,1,1,1
319058646#1,37052930,1,1,1,1
319779133#0,165170685#1,1,1,1,1
327343097#1,-36293459#8,1,1,1,1
332885734#2,-328471845#0,1,0,1,1
332885734#2,319058612#1,1,1,1,1
35801597#4,-1339510609#0,1,1,1,1
35801597#4,156467000#0,1,0,1,1
36284386#0,-1339510610,1,1,1,1
36284386#0,-36933151#0,1,1,1,1
36288851#0,-35802097#1,1,1,1,1
36288851#0,-650145324#1,1,1,1,1
36289159#1,-328471845#0,1,1,1,0
36289159#2,-243836884#4,1,1,1,1
36289394#2,610135147#1,1,1,1,1
36785117#1,-328471845#0,1,1,1,1
36934835#2,302162780#1,1,1,1,1
36934854#1,-328471845#0,1,1,1,1
36934854#1,610135147#1,1,1,1,1
36934860#3,-394443147#0,1,1,1,1
36935040#2,165170685#1,1,1,1,1
36935232,-156460683#5,1,1,1,1
36935232,-157553230,0,1,1,1
36935232,-650145324#1,1,1,1,1
36935232,36936373#3,1,1,1,1
36935235#0,36936373#3,1,1,1,1
36935235#2,-610220874#1,1,1,1,1
36935235#3,-650145324#1,1,1,1,0
36936262#1,153730941#1,1,1,1,1
36936262#1,37051113#1,0,0,1,0
36936327,-36288851#1,1,1,1,1
36936327,269702544,1,1,1,1
36936373#0,-243836884#5,1,1,1,1
36936373#0,610135147#1,1,1,1,0
36936373#1,1119245067,1,1,1,1
36936373#4,-201772616#1,1,1,1,1
36936373#4,-710478296,1,1,1,1
36936373#4,36936423#6,1,1,1,1
36936396#0,319058612#1,1,1,1,1
36936396#2,319058644,1,1,1,1
36936407#2,-319058613#0,1,1,1,1
36936423#3,610135147#1,1,1,1,1
36936423#5,-36293459#8,1,1,1,1
36936423#6,-156460683#5,1,1,1,1
36936480#1,36935232,1,0,1,1
36936590#6,-165172642#2,1,1,1,1
36936590#6,165170685#1,1,1,1,1
36936590#6,319058646#1,1,1,1,1
36936655#4,-650145324#1,1,1,0,0
36936655#6,156467000#3,1,1,1,1
36936727#1,36288851#0,1,1,1,1
36936727#1,698024155#1,1,1,1,0
36936727#4,-37052277#2,1,1,1,1
36936749#2,-328471845#0,1,1,1,1
36936749#2,-698018295#3,1,1,1,1
36936749#4,319058592#0,1,1,1,1
36936749#4,319058612#1,1,1,1,1
36950506#0,39820659#0,1,1,1,0
36950506#0,48955996,1,1,1,1
36950518#0,-165170815#0,1,1,1,1
36950518#0,-165170994#4,1,1,1,1
36950518#0,-610220874#1,1,1,1,1
37050033#0,1119245067,1,1,1,1
37050033#0,157553231,1,1,1,1
37050033#1,-37052277#2,0,1,0,1
37050033#1,394446867#0,1,1,1,1
37050051,-153730010#2,1,1,1,1
37050515#1,-36950439#1,1,1,1,1
37050515#1,36288851#0,1,1,1,1
37050515#2,-36293459#8,1,1,1,1
37051113#1,1239117013#2,1,1,1,1
37051113#1,36936590#6,1,1,1,1
37051441#2,-243836884#1,1,1,1,1
37051872#0,157553231,1,1,1,1
37053056#2,-165170994#4,1,1,1,1
37054132,-37054066,0,1,1,1
37054132,187827276,0,1,1,1
37088256,-36289599#0,1,1,1,1
37088258#0,319058643#0,1,1,1,1
37088258#0,37050033#0,1,1,1,1
394443152#0,-698026762,1,1,1,1
394446867#0,37050033#1,0,1,1,1
394446873#1,-36933151#0,0,1,1,1
394456356#0,-394443151#2,1,1,1,1
394456402#0,156467000#0,1,1,1,1
39820659#0,-37052277#3,1,1,1,1
39820659#0,-650145324#1,1,1,0,0
39820659#0,269702561#1,1,1,1,1
39820659#1,-36936749#1,1,1,1,1
39820659#2,-328471845#0,1,0,0,1
39820659#2,156467000#0,1,1,1,1
39820659#3,-35801597#3,1,1,1,1
39820659#3,-698026762,1,1,0,0
39820659#3,1119245067,1,1,1,1
39820659#3,36935232,1,1,1,1
39820659#3,36950506#0,0,0,1,0
39820659#3,37050051,1,1,1,1
39820661#0,610135147#1,1,1,1,1
39820664#7,-156480737#1,1,1,1,1
406210869#0,-165170994#4,0,1,1,1
48955996,-153730015#1,1,1,1,1
48955997,-36289599#0,1,1,1,1
48955997,-610220874#1,1,1,1,1
48956586#5,-36950657#0,1,1,1,1
551044539,37052930,1,1,1,1
610135147#0,-202422660#0,1,1,1,1
610135147#0,-243836884#1,1,1,1,1
610135147#1,-327343082,1,1,1,1
610135147#1,36936423#4,1,1,1,1
610135147#1,36950518#0,1,1,1,1
650145330#2,-37088673#0,1,1,1,1
697624157#1,-394446875,1,1,1,1
697624157#1,37050033#1,1,1,1,1
698018293,-165171782,1,1,1,1
698018294#1,37052930,1,1,0,0
878854448,36933307#2,1,1,1,1
918716574#1,-328471845#0,1,1,1,1
918716574#2,-156460683#5,1,1,1,1
