start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
1238,34,28,Human,-165170818#5,-37052277#3,3515.73,884.56,4030.33,3202.05,9
188,35,2,Human,-36293459#6,-156460683#5,3934.97,3472.18,3501.02,3995.22,10
1336,36,2,Human,-36294383#6,-156460683#5,4212.88,3721.15,3501.02,3995.22,9
396,37,29,Human,-243836884#1,36936327,3369.88,1267.91,3608.17,2609.61,0
1729,38,22,Human,39820659#3,36950506#0,4519.49,2510.63,4828.98,2712.21,5
701,38,14,Human,39820659#3,-698026762,4519.49,2510.63,4914.44,2707.08,8
694,39,30,Human,-35801597#3,165170685#1,3072.22,2602.05,3650.16,1196.12,7
122,40,3,Human,-157555050#0,-153730010#2,4393.79,2874.05,4571.17,2348.21,3
1311,41,27,Human,36936423#5,-36293459#8,3458.92,3043.53,3965.27,3464.79,6
1066,42,31,Human,-36294081#3,610135147#1,4173.95,3956.32,4386.22,1330.98,1
490,43,32,Human,-394456356#1,37088258#0,4372.51,3216.85,4284.15,2952.66,3
239,38,33,Human,39820659#3,1119245067,4519.49,2510.63,4153.68,2947.95,3
1055,44,34,Human,-319058608#1,-1239117016#2,4281.82,2623.94,4705.05,2572.13,8
1117,45,35,Human,-37088673#1,-36936288,4662.75,2520.57,3646.98,2676.47,8
846,46,36,Human,-36950439#0,-153730020#0,4465.26,2981.3,3966.29,1830.89,8
1746,47,37,Human,-153730020#0,-36950439#0,4070.25,1891.39,4300.89,2961.26,5
131,24,38,Human,-153730015#3,218916675,4374.92,1827.81,3251.57,2917.13,3
1762,48,39,Human,-156460683#6,-153730015#2,3512.34,3725.98,4346.45,2165.09,5
518,9,40,Human,1239117013#2,156467000#3,3751.5,1890.18,3001.2,3022.72,0
736,43,41,Human,-394456356#1,-157555050#0,4372.51,3216.85,4494.14,2880.53,8
1336,40,42,Human,-157555050#0,37050033#0,4393.79,2874.05,4120.11,2933.12,8
136,19,43,Human,-36294081#2,-165170994#3,4177.51,3921.11,3431.67,883.41,10
562,49,34,Human,-36293752#5,-1239117016#2,3937.76,3614.93,4705.05,2572.13,3
682,50,44,Human,-1239117016#2,-36293752#5,4903.66,2701.44,3924.4,3580.73,7
520,51,45,Human,-394446873#0,36936373#1,2984.05,1915.28,3897.31,2538.38,7
640,52,46,Human,-36933151#0,-394443146,3547.29,2149.14,3541.6,886.41,10
1107,53,47,Human,36289159#1,-328471845#0,3945.83,2652.31,4593.32,2654.54,8
786,54,3,Human,165170685#0,-153730010#2,3533.55,1093.43,4571.17,2348.21,1
642,55,48,Human,-36950439#1,-36950506#2,4493.3,2985.34,4700.18,2679.41,8
757,56,49,Human,-319779150#1,319058608#0,3959.72,1968.43,4324.42,2615.53,1
1625,57,13,Human,269702561#1,165172163,3998.19,2776.3,3660.57,1291.97,4
133,58,50,Human,-153730010#2,-394456402#1,4532.39,2399.14,3335.39,4167.92,3
895,59,51,Human,37088258#0,319058643#0,4287.62,2956.09,2556.1,2881.37,8
1150,60,52,Human,-394446876#0,36935232,4460.03,2579.16,4007.34,2632.4,8
2,61,53,Human,-328471845#0,157555049,4564.89,2648.34,4209.73,2946.46,3
51,29,22,Human,-36934835#0,36950506#0,3634.66,2775.7,4828.98,2712.21,10
211,62,54,Human,-153732963#0,-710478296,4161.16,2120.46,2455.87,2768.56,3
1410,63,52,Human,187827272,36935232,3128.08,3122.69,4007.34,2632.4,6
972,30,55,Human,-153730939#1,36936236#1,4190.23,2632.93,3815.36,2730.82,8
1281,61,56,Human,-328471845#0,-918716575,4564.89,2648.34,3836.29,2895.17,9
1152,46,57,Human,-36950439#0,-650145324#1,4465.26,2981.3,3827.79,2130.02,4
969,64,58,Human,-36950506#2,36950518#0,4646.92,2666.76,4316.43,3044.17,8
1538,65,59,Human,-165172642#0,-1119245061,3719.07,1475.13,4157.33,3406.51,5
278,66,60,Human,-153730008#2,-165172642#0,4268.59,1937.85,3705.59,1526.3,0
101,67,61,Human,-36950657#0,48956586#5,4481.08,2780.32,4274.58,2933.49,3
1301,68,62,Human,48956586#5,-36950657#0,4283.2,2925.21,4436.23,2625.44,8
588,69,63,Human,37088256,-36289599#0,4216.66,2905.68,4268.62,2629.65,3
441,31,18,Human,-319058589#1,319058644,4593.5,2996.35,4321.64,2344.8,3
1278,70,3,Human,270968317#0,-153730010#2,3950.91,2852.63,4571.17,2348.21,8
551,71,48,Human,-37055902#2,-36950506#2,4182.61,3242.53,4700.18,2679.41,3
545,72,64,Human,36950506#0,39820659#0,4869.97,2719.55,4314.13,2424.18,3
1520,73,2,Human,-1339510609#0,-156460683#5,4495.01,2614.76,3501.02,3995.22,4
1401,74,48,Human,269702561#0,-36950506#2,3946.26,2664.14,4700.18,2679.41,8
325,75,65,Human,-710476024#1,157553231,4294.97,2463.85,4192.97,2738.59,3
1624,76,12,Human,36935232,36936373#3,4052.0,2739.71,3899.86,2469.32,5
1298,70,66,Human,270968317#0,-165171782,3950.91,2852.63,3420.67,1164.81,4
331,77,67,Human,153730941#1,-394446871#1,4194.45,2634.57,4325.25,2384.1,3
1220,72,68,Human,36950506#0,48955996,4869.97,2719.55,4139.45,2887.46,8
804,38,69,Human,39820659#3,37050051,4519.49,2510.63,4215.06,2952.07,7
1551,78,47,Human,332885734#2,-328471845#0,4589.02,3230.73,4593.32,2654.54,4
1797,79,3,Human,-36289599#0,-153730010#2,4242.73,2651.65,4571.17,2348.21,5
1702,59,42,Human,37088258#0,37050033#0,4287.62,2956.09,4120.11,2933.12,5
1792,77,48,Human,153730941#1,-36950506#2,4194.45,2634.57,4700.18,2679.41,5
761,30,34,Human,-153730939#1,-1239117016#2,4190.23,2632.93,4705.05,2572.13,8
492,38,52,Human,39820659#3,36935232,4519.49,2510.63,4007.34,2632.4,3
1059,80,70,Human,35801597#4,-1339510609#0,3074.53,2616.62,4514.35,2626.35,8
1489,81,71,Human,-394446873#2,-35802097#1,3014.98,2057.24,3036.51,2745.83,6
265,40,72,Human,-157555050#0,918716574#1,4393.79,2874.05,3751.98,2925.05,3
1454,82,58,Human,610135147#1,36950518#0,4435.44,1332.57,4316.43,3044.17,9
940,36,27,Human,-36294383#6,-36293459#8,4212.88,3721.15,3965.27,3464.79,9
1153,83,48,Human,-859784611,-36950506#2,4824.42,3087.15,4700.18,2679.41,8
450,84,63,Human,48955997,-36289599#0,4182.54,2774.98,4268.62,2629.65,3
1350,79,73,Human,-36289599#0,48955997,4242.73,2651.65,4145.64,2781.84,8
763,64,37,Human,-36950506#2,-36950439#0,4646.92,2666.76,4300.89,2961.26,8
431,23,14,Human,269702544,-698026762,3722.7,2378.13,4914.44,2707.08,3
1398,85,74,Human,697624157#1,37050033#1,2898.56,3028.21,4141.15,2942.78,9
1751,86,5,Human,-156480737#3,-1119245060#0,3964.31,3277.83,4071.46,3446.76,4
817,87,75,Human,37050033#1,394446867#0,4133.27,2938.46,3428.07,2623.37,8
1177,88,74,Human,394446867#0,37050033#1,3396.33,2603.72,4141.15,2942.78,7
353,89,76,Human,36936373#4,36936423#6,3900.31,2459.95,3483.13,3034.23,3
682,90,77,Human,-394443151#0,327343097#1,3232.24,1462.16,2908.89,2512.78,0
240,91,78,Human,37054132,-37054066,3357.53,3830.86,3769.23,3560.98,3
1081,92,79,Human,-697704135,-1119245057#2,3315.24,3908.59,4127.53,3603.44,9
721,93,80,Human,39820659#0,269702561#1,4313.94,2424.12,4015.63,2810.18,8
402,94,81,Human,-156460683#5,-1057740876,3506.04,3889.74,2946.02,1684.47,0
176,95,82,Human,153730020#1,1239117012#1,4083.8,1895.32,3831.36,1955.83,10
8,96,83,Human,-319058602#0,-37052277#2,4348.17,3287.25,4040.07,3269.98,10
908,97,84,Human,-37052277#2,-319058602#0,4031.66,3211.36,4219.19,3374.78,8
78,43,85,Human,-394456356#1,-319779150#2,4372.51,3216.85,3965.38,1960.39,3
255,76,86,Human,36935232,-157553230,4052.0,2739.71,4153.93,2457.42,3
855,98,3,Human,-157553230,-153730010#2,4144.54,2503.79,4571.17,2348.21,8
354,99,87,Human,48955996,-153730015#1,4140.51,2840.61,4343.63,2207.42,3
909,100,4,Human,-36950518#1,-394443151#2,4325.56,3088.11,3249.2,1483.56,2
305,101,3,Human,-36936288,-153730010#2,3771.39,2749.23,4571.17,2348.21,3
974,3,78,Human,-1119245057#1,-37054066,4123.04,3588.62,3769.23,3560.98,9
29,46,88,Human,-36950439#0,36936407#1,4465.26,2981.3,3873.6,2882.48,3
268,94,89,Human,-156460683#5,-36294383#6,3506.04,3889.74,4275.12,3531.19,3
656,18,27,Human,-37055563#1,-36293459#8,4516.98,3642.19,3965.27,3464.79,7
371,102,57,Human,-36294383#4,-650145324#1,4283.16,3479.08,3827.79,2130.02,2
1800,103,69,Human,-36293752#1,37050051,3898.74,3515.09,4215.06,2952.07,9
1151,104,3,Human,-153732963#2,-153730010#2,4056.95,2170.4,4571.17,2348.21,8
1319,76,2,Human,36935232,-156460683#5,4052.0,2739.71,3501.02,3995.22,4
871,105,90,Human,-394443146,39820659#1,3577.1,969.88,4413.61,2454.28,1
391,86,33,Human,-156480737#3,1119245067,3964.31,3277.83,4153.68,2947.95,2
1291,8,91,Human,1119245067,-156480737#3,4203.72,2952.09,3933.94,3192.69,9
1117,106,2,Human,1119245069,-156460683#5,4169.3,2902.24,3501.02,3995.22,8
1526,107,92,Human,-36934835#1,-36294383#8,3579.39,2720.93,4234.09,3863.96,9
1538,91,10,Human,37054132,187827276,3357.53,3830.86,3101.9,3184.81,9
1575,108,27,Human,-37051625#0,-36293459#8,4014.39,3156.48,3965.27,3464.79,4
1443,94,93,Human,-156460683#5,-37088332#3,3506.04,3889.74,4313.44,2757.08,9
1629,49,83,Human,-36293752#5,-37052277#2,3937.76,3614.93,4040.07,3269.98,9
694,8,37,Human,1119245067,-36950439#0,4203.72,2952.09,4300.89,2961.26,8
756,109,1,Human,-156460683#7,37052930,3513.31,3717.1,3560.97,3019.52,8
654,110,65,Human,37051872#0,157553231,4035.96,3463.37,4192.97,2738.59,8
1399,111,27,Human,37050515#2,-36293459#8,3934.68,2984.74,3965.27,3464.79,9
259,112,94,Human,-36293752#6,36935040#2,3947.05,3638.69,3471.1,2990.86,0
272,113,2,Human,-1119245070,-156460683#5,3987.71,2888.77,3501.02,3995.22,3
955,78,95,Human,332885734#2,319058612#1,4589.02,3230.73,3945.85,2862.2250000000004,8
1060,114,96,Human,36936262#1,153730941#1,3742.84,2915.2,4236.06,2654.51,8
460,103,97,Human,-36293752#1,36936262#1,3898.74,3515.09,3745.02,2921.63,3
1528,42,98,Human,-36294081#3,-36934835#0,4173.95,3956.32,3673.97,2819.83,5
456,115,57,Human,-36288941#1,-650145324#1,3920.23,2754.04,3827.79,2130.02,2
79,116,99,Human,37050515#1,-36950439#1,3960.81,2978.22,4474.44,2982.54,3
1152,117,2,Human,-36293459#0,-156460683#5,3699.05,3580.57,3501.02,3995.22,9
1750,97,100,Human,-37052277#2,1119245069,4031.66,3211.36,4146.16,2896.01,5
677,118,101,Human,-36294383#9,153730936#3,4556.44,3888.2,3909.75,2386.72,8
1749,119,102,Human,-1119245061,36936407#0,4210.82,3379.03,3891.48,2875.87,5
1778,120,103,Human,157553231,-156460672,4194.86,2731.56,3441.35,3968.36,4
98,121,104,Human,-476687231#1,918716574#0,4029.1,3657.47,3773.79,2917.64,3
1259,122,33,Human,-36293459#3,1119245067,3840.27,3511.59,4153.68,2947.95,9
1602,123,83,Human,-394456379,-37052277#2,4529.85,2988.53,4040.07,3269.98,4
101,58,2,Human,-153730010#2,-156460683#5,4532.39,2399.14,3501.02,3995.22,3
1775,124,47,Human,36934854#1,-328471845#0,3772.48,2810.38,4593.32,2654.54,5
904,125,105,Human,-153730934,-156480737#2,4070.29,2570.07,3903.65,3084.79,8
1630,126,49,Human,-36288941#0,319058608#0,3930.36,2798.02,4324.42,2615.53,5
1015,127,106,Human,-710478296,-36293752#1,2365.52,2771.98,3898.63,3514.81,7
698,128,83,Human,36936727#4,-37052277#2,4155.16,2279.37,4040.07,3269.98,7
1539,77,107,Human,153730941#1,-1109771198#0,4194.45,2634.57,3844.59,2803.21,4
1612,23,83,Human,269702544,-37052277#2,3722.7,2378.13,4040.07,3269.98,4
544,12,108,Human,-36294081#1,-650145330#0,4177.48,3912.82,3732.31,1948.22,2
965,129,109,Human,-36293459#8,-153730939#0,4017.48,3459.62,4099.55,2672.14,8
34,130,110,Human,-394446871#1,36936590#6,4411.05,2399.53,3656.16,1766.12,2
1317,131,111,Human,-153732960#0,-1024000539#1,4012.59,2075.93,4170.36,3281.61,9
1756,132,112,Human,-153730935,-48956015,4145.19,2656.45,4136.19,2898.88,5
928,133,33,Human,37050033#0,1119245067,3993.62,2897.49,4153.68,2947.95,8
172,134,78,Human,-153730017,-37054066,4215.46,2041.61,3769.23,3560.98,0
193,135,52,Human,157555049,36935232,4211.8,2919.22,4007.34,2632.4,3
551,133,65,Human,37050033#0,157553231,3993.62,2897.49,4192.97,2738.59,3
1451,120,42,Human,157553231,37050033#0,4194.86,2731.56,4120.11,2933.12,8
49,136,100,Human,319058612#1,1119245069,3956.375,2874.34,4146.16,2896.01,3
502,137,48,Human,1238956370,-36950506#2,3613.94,2990.81,4700.18,2679.41,7
808,138,113,Human,-1299820133,36936396#0,3998.16,2974.81,4066.13,2788.05,8
575,30,60,Human,-153730939#1,-165172642#0,4190.23,2632.93,3705.59,1526.3,2
1105,139,33,Human,36936373#1,1119245067,3897.03,2558.65,4153.68,2947.95,8
1593,93,28,Human,39820659#0,-37052277#3,4313.94,2424.12,4030.33,3202.05,4
1652,6,0,Human,-859784039#0,-243836884#5,4354.56,3187.94,3452.5,1409.57,4
184,87,83,Human,37050033#1,-37052277#2,4133.27,2938.46,4040.07,3269.98,3
1084,97,74,Human,-37052277#2,37050033#1,4031.66,3211.36,4141.15,2942.78,8
1501,1,114,Human,-165171783#1,406210869#0,3548.82,1309.9,4083.78,2886.23,5
76,140,95,Human,36936396#0,319058612#1,4034.9,2805.24,3945.85,2862.2250000000004,3
1638,47,115,Human,-153730020#0,-153730016#0,4070.25,1891.39,4462.69,2191.67,5
1603,141,47,Human,918716574#1,-328471845#0,3763.13,2921.21,4593.32,2654.54,5
1784,142,83,Human,270968317#1,-37052277#2,4023.16,2812.26,4040.07,3269.98,4
350,115,33,Human,-36288941#1,1119245067,3920.23,2754.04,4153.68,2947.95,3
378,7,30,Human,36936590#6,165170685#1,3624.39,1709.24,3650.16,1196.12,0
1578,143,116,Human,-153730011,36936396#3,4283.63,2122.53,4132.03,2750.69,4
1242,144,117,Human,878854448,36933307#2,4188.16,2728.58,3742.75,2526.52,6
697,23,63,Human,269702544,-36289599#0,3722.7,2378.13,4268.62,2629.65,8
367,145,95,Human,270968324,319058612#1,3983.9,2439.01,3945.85,2862.2250000000004,3
1204,29,96,Human,-36934835#0,153730941#1,3634.66,2775.7,4236.06,2654.51,6
1608,146,118,Human,-165172307#0,-36294383#5,3837.47,1456.67,4281.55,3486.0,5
1473,147,119,Human,319058602#1,1239117012#5,4356.15,3275.19,3665.9,1794.7,4
184,148,120,Human,-394456385#0,-36950506#1,3615.21,2304.51,4820.49,2706.93,10
1726,149,31,Human,-339700984,610135147#1,3213.47,2576.37,4386.22,1330.98,4
100,94,31,Human,-156460683#5,610135147#1,3506.04,3889.74,4386.22,1330.98,10
287,150,95,Human,36936749#4,319058612#1,4278.74,2067.0,3945.85,2862.2250000000004,3
1453,151,48,Human,-35801699#1,-36950506#2,3094.16,2735.95,4700.18,2679.41,6
424,98,45,Human,-157553230,36936373#1,4144.54,2503.79,3897.31,2538.38,3
789,98,4,Human,-157553230,-394443151#2,4144.54,2503.79,3249.2,1483.56,2
914,125,121,Human,-153730934,-36288941#0,4070.29,2570.07,3944.06,2849.73,8
1792,152,57,Human,36935235#3,-650145324#1,4102.43,2546.32,3827.79,2130.02,4
8,100,122,Human,-36950518#1,36936590#5,4325.56,3088.11,3619.86,1700.55,2
904,153,77,Human,156467000#3,327343097#1,3060.11,3034.91,2908.89,2512.78,6
214,64,123,Human,-36950506#2,-36933126#1,4646.92,2666.76,3698.61,2168.79,3
307,46,119,Human,-36950439#0,1239117012#5,4465.26,2981.3,3665.9,1794.7,2
766,154,124,Human,-159922662#1,-153732963#2,3756.22,3333.66,4085.66,2148.34,8
1537,155,125,Human,1239117012#2,-36933151#0,3823.5,1950.69,3484.69,2216.71,5
1026,6,36,Human,-859784039#0,-153730020#0,4354.56,3187.94,3966.29,1830.89,8
489,55,126,Human,-36950439#1,-610220874#1,4493.3,2985.34,3471.58,2031.06,2
262,156,127,Human,36284386#0,-1339510610,3548.57,2494.72,4397.92,2616.99,3
789,157,128,Human,-650145324#0,-36289599#1,3815.6,2130.46,4238.33,2657.81,1
1435,143,63,Human,-153730011,-36289599#0,4283.63,2122.53,4268.62,2629.65,8
518,158,129,Human,-36288941#2,-319779150#1,3902.8,2683.13,3947.23,1986.25,3
333,23,95,Human,269702544,319058612#1,3722.7,2378.13,3945.85,2862.2250000000004,3
473,84,126,Human,48955997,-610220874#1,4182.54,2774.98,3471.58,2031.06,2
1477,159,126,Human,36950518#0,-610220874#1,4296.23,2966.61,3471.58,2031.06,4
104,160,130,Human,-156460672,698024155#0,3371.14,3929.08,4190.9,1319.06,10
810,161,131,Human,-37640679#2,-153730022#0,2684.34,2654.11,4619.76,2107.77,7
319,162,31,Human,-37053056#5,610135147#1,3434.77,3215.92,4386.22,1330.98,10
1789,26,125,Human,319058608#0,-36933151#0,4389.91,2616.46,3484.69,2216.71,4
491,26,132,Human,319058608#0,-698024153,4389.91,2616.46,3661.06,1265.1,2
1675,23,57,Human,269702544,-650145324#1,3722.7,2378.13,3827.79,2130.02,4
387,39,47,Human,-35801597#3,-328471845#0,3072.22,2602.05,4593.32,2654.54,3
1057,65,41,Human,-165172642#0,-157555050#0,3719.07,1475.13,4494.14,2880.53,8
1379,163,133,Human,36934860#3,-394443147#0,3845.59,2709.67,3474.4,758.28,4
1242,164,127,Human,-319058604#0,-1339510610,3386.34,2726.79,4397.92,2616.99,6
21,165,134,Human,36936327,269702544,3837.8,2708.41,3899.67,2386.95,10
110,166,135,Human,36936727#1,36288851#0,4291.14,2331.14,3518.05,2505.32,3
1351,167,12,Human,36935235#0,36936373#3,4067.04,2602.88,3899.86,2469.32,8
1517,168,57,Human,-153730938,-650145324#1,3978.73,2500.47,3827.79,2130.02,4
1137,169,136,Human,-394456385#1,-269702560,3537.42,2334.41,3941.58,2657.94,8
1797,170,137,Human,-269702560,-394456385#1,3943.58,2662.14,3607.64,2310.09,4
1255,76,57,Human,36935232,-650145324#1,4052.0,2739.71,3827.79,2130.02,4
503,171,138,Human,36934835#2,302162780#1,3572.43,2719.04,3589.37,1868.36,0
571,38,139,Human,39820659#3,-35801597#3,4519.49,2510.63,3072.88,2591.9,2
1788,131,12,Human,-153732960#0,36936373#3,4012.59,2075.93,3899.86,2469.32,5
259,172,40,Human,36936655#6,156467000#3,4157.17,2273.33,3001.2,3022.72,3
1673,93,57,Human,39820659#0,-650145324#1,4313.94,2424.12,3827.79,2130.02,4
159,42,122,Human,-36294081#3,36936590#5,4173.95,3956.32,3619.86,1700.55,10
385,173,140,Human,650145330#2,-37088673#0,3745.38,1953.6,4327.69,2357.22,0
269,123,141,Human,-394456379,36936423#2,4529.85,2988.53,3399.42,3066.79,3
1009,114,142,Human,36936262#1,37051113#1,3742.84,2915.2,3735.24,3079.46,7
1473,174,55,Human,-36293459#7,36936236#1,3956.04,3466.57,3815.36,2730.82,9
101,8,143,Human,1119245067,36936423#4,4203.72,2952.09,3450.17,3047.08,3
960,89,54,Human,36936373#4,-710478296,3900.31,2459.95,2455.87,2768.56,8
1308,22,138,Human,319058644,302162780#1,4323.02,2338.06,3589.37,1868.36,6
1316,175,47,Human,36785117#1,-328471845#0,3194.0,3043.54,4593.32,2654.54,6
1143,134,57,Human,-153730017,-650145324#1,4215.46,2041.61,3827.79,2130.02,1
490,176,4,Human,394456356#0,-394443151#2,4538.33,2995.24,3249.2,1483.56,2
1195,134,144,Human,-153730017,-156460681#1,4215.46,2041.61,3354.75,3818.0,1
1417,3,145,Human,-1119245057#1,319058640,4123.04,3588.62,3418.02,2278.52,9
1646,46,10,Human,-36950439#0,187827276,4465.26,2981.3,3101.9,3184.81,4
864,6,10,Human,-859784039#0,187827276,4354.56,3187.94,3101.9,3184.81,8
994,177,146,Human,153730013#0,-36933126#0,4247.18,2043.84,3673.05,2088.46,8
1761,178,57,Human,36936655#4,-650145324#1,4021.64,2178.39,3827.79,2130.02,4
1074,134,147,Human,-153730017,-36933307#1,4215.46,2041.61,3678.83,2456.48,1
1396,174,148,Human,-36293459#7,1239117013#2,3956.04,3466.57,3908.6,2004.19,9
244,124,31,Human,36934854#1,610135147#1,3772.48,2810.38,4386.22,1330.98,10
1205,179,88,Human,1057740871#0,36936407#1,3835.35,2768.55,3873.6,2882.48,8
112,180,14,Human,-697627694#1,-698026762,2686.89,2958.5,4914.44,2707.08,10
72,169,149,Human,-394456385#1,-156460683#8,3537.42,2334.41,3515.31,3709.15,10
126,82,143,Human,610135147#1,36936423#4,4435.44,1332.57,3450.17,3047.08,3
469,181,150,Human,-153730937,36936590#1,4061.01,2472.95,3580.73,1628.15,2
293,182,31,Human,36936423#3,610135147#1,3405.97,3064.26,4386.22,1330.98,10
214,101,116,Human,-36936288,36936396#3,3771.39,2749.23,4132.03,2750.69,10
340,183,83,Human,-394443152#1,-37052277#2,3641.17,1072.86,4040.07,3269.98,0
732,184,151,Human,-698024153,394456380,3650.26,1196.71,3798.0,3026.19,1
289,185,152,Human,39820659#2,156467000#0,4422.63,2456.98,3112.51,3053.48,3
571,54,153,Human,165170685#0,36934860#2,3533.55,1093.43,3836.32,2716.15,0
447,186,5,Human,-165170818#3,-1119245060#0,3490.43,816.38,4071.46,3446.76,0
1241,187,147,Human,-1119245071,-36933307#1,3988.6,2903.4,3678.83,2456.48,6
225,188,154,Human,-394443147#0,36936655#4,3536.6,873.76,4074.15,2240.28,3
1792,189,2,Human,-187827289,-156460683#5,2782.44,2996.94,3501.02,3995.22,6
832,58,155,Human,-153730010#2,-394446869,4532.39,2399.14,2994.76,1921.63,8
106,190,31,Human,-319058604#1,610135147#1,3375.9,2729.18,4386.22,1330.98,10
710,169,83,Human,-394456385#1,-37052277#2,3537.42,2334.41,4040.07,3269.98,7
819,23,82,Human,269702544,1239117012#1,3722.7,2378.13,3831.36,1955.83,2
1430,191,126,Human,36935235#2,-610220874#1,4083.54,2563.16,3471.58,2031.06,6
1311,164,96,Human,-319058604#0,153730941#1,3386.34,2726.79,4236.06,2654.51,6
39,138,147,Human,-1299820133,-36933307#1,3998.16,2974.81,3678.83,2456.48,3
893,52,156,Human,-36933151#0,36936655#3,3547.29,2149.14,4015.85,2171.46,8
1345,192,134,Human,-650145330#0,269702544,3731.83,1949.7,3899.67,2386.95,5
17,138,94,Human,-1299820133,36935040#2,3998.16,2974.81,3471.1,2990.86,3
1250,193,83,Human,-156460691,-37052277#2,3293.89,4209.57,4040.07,3269.98,9
700,194,157,Human,1339510612#2,36936423#5,3880.5,2688.7200000000003,3476.07,3036.77,8
1593,195,158,Human,39820664#7,-156480737#1,3436.635,2227.915,3871.5,3010.13,9
1312,196,159,Human,-37051625#2,-187827280#0,4167.94,3089.22,2992.89,3076.12,6
87,197,16,Human,156467000#0,-156460683#0,3134.28,3084.03,3345.56,4371.28,10
816,198,1,Human,698018294#1,37052930,3593.96,3001.35,3560.97,3019.52,7
501,117,160,Human,-36293459#0,-243836890#0,3699.05,3580.57,3315.57,2139.34,0
529,109,27,Human,-156460683#7,-36293459#8,3513.31,3717.1,3965.27,3464.79,7
1282,199,71,Human,-36294383#3,-35802097#1,4338.62,3387.81,3036.51,2745.83,6
249,116,135,Human,37050515#1,36288851#0,3960.81,2978.22,3518.05,2505.32,3
922,188,58,Human,-394443147#0,36950518#0,3536.6,873.76,4316.43,3044.17,1
1079,200,40,Human,-37055902#1,156467000#3,4178.73,3177.43,3001.2,3022.72,8
577,201,161,Human,37051441#2,-243836884#1,4216.24,3070.12,3284.93,1186.31,2
226,202,144,Human,-165172642#1,-156460681#1,3727.99,1408.3,3354.75,3818.0,0
428,26,54,Human,319058608#0,-710478296,4389.91,2616.46,2455.87,2768.56,2
