id,origin,destination,start_time,kind
208,74,93,1159,Human
209,121,71,331,Human
210,85,0,642,Human
211,85,95,13,Human
212,122,46,1219,Human
213,123,106,1612,Human
214,54,77,793,Human
215,31,48,1453,Human
216,124,107,770,Human
217,57,104,216,Human
218,125,41,932,Human
219,126,0,229,Human
220,11,108,1605,Human
221,62,71,213,Human
222,77,109,1413,Human
223,62,104,812,Human
224,64,0,147,Human
225,52,110,298,Human
226,127,107,1224,Human
227,128,111,19,Human
228,110,112,1138,Human
229,49,41,436,Human
230,81,2,1577,Human
231,6,41,190,Human
232,10,22,1392,Human
233,38,113,378,Human
234,62,68,142,Human
235,104,29,382,Human
236,129,32,615,Human
237,55,41,533,Human
238,130,114,1047,Human
239,111,0,1256,Human
240,111,29,887,Human
241,41,30,545,Human
242,131,4,45,Human
243,132,95,1114,Human
244,97,115,337,Human
245,133,12,610,Human
246,13,48,850,Human
247,134,0,948,Human
248,124,116,379,Human
249,135,117,979,Human
250,136,22,1279,Human
251,102,0,1719,Human
252,137,65,1088,Human
253,138,19,126,Human
254,139,77,868,Human
255,140,19,266,Human
256,141,118,1544,Human
257,142,22,1575,Human
258,3,12,720,Human
259,143,14,646,Human
260,144,22,36,Human
261,137,0,1287,Human
262,145,119,1719,Human
263,0,120,497,Human
264,146,45,17,Human
265,21,119,616,Human
266,2,90,394,Human
267,147,118,865,Human
268,148,112,1305,Human
269,13,32,680,Human
270,50,14,269,Human
271,149,77,1633,Human
272,150,29,932,Human
273,37,121,70,Human
274,88,19,817,Human
275,21,76,1417,Human
276,151,122,1628,Human
277,152,32,276,Human
278,94,29,252,Human
279,59,123,1152,Human
280,153,77,550,Human
281,13,32,1615,Human
282,151,7,1430,Human
283,154,124,1149,Human
284,155,96,668,Human
285,38,54,96,Human
286,16,92,264,Human
287,16,125,1383,Human
288,156,41,1199,Human
289,16,126,750,Human
290,157,112,1430,Human
291,41,14,800,Human
292,109,5,569,Human
293,156,127,967,Human
294,158,14,519,Human
295,132,128,134,Human
296,121,32,892,Human
297,149,34,140,Human
298,159,96,500,Human
299,3,32,1140,Human
300,18,14,1767,Human
301,8,96,15,Human
302,160,5,477,Human
303,161,5,1107,Human
304,162,19,449,Human
305,160,5,158,Human
306,163,95,714,Human
307,149,72,362,Human
308,160,72,596,Human
309,164,49,354,Human
310,6,23,1764,Human
311,72,84,1751,Human
312,111,26,179,Human
313,68,129,1079,Human
314,165,72,87,Human
315,166,16,46,Human
316,163,84,1603,Human
317,83,24,618,Human
318,167,130,497,Human
319,168,33,550,Human
320,151,131,686,Human
321,169,5,942,Human
322,153,2,1107,Human
323,160,68,381,Human
324,139,104,1082,Human
325,30,21,1198,Human
326,64,68,1028,Human
327,81,93,1628,Human
328,121,14,149,Human
329,125,84,18,Human
330,7,132,733,Human
331,49,84,957,Human
332,77,21,463,Human
333,170,68,920,Human
334,157,29,952,Human
335,102,133,644,Human
336,171,33,1546,Human
337,164,95,549,Human
338,172,2,1031,Human
339,173,9,806,Human
340,37,2,1706,Human
341,70,21,1286,Human
342,174,43,1042,Human
343,13,107,559,Human
344,0,108,783,Human
345,161,134,1531,Human
346,88,84,443,Human
347,26,14,964,Human
348,175,95,414,Human
349,176,55,1392,Human
350,177,23,761,Human
351,151,135,916,Human
352,73,6,12,Human
353,178,14,1323,Human
354,179,118,1285,Human
355,177,23,1021,Human
356,180,33,62,Human
357,134,14,1672,Human
358,156,23,359,Human
359,181,14,48,Human
360,77,14,715,Human
361,182,14,643,Human
